fy,abbr,state,County,County 2,"County, State",Local Board,type,count,avgWage,MedianWageByCounty
FY 2023,ID,Idaho,Payette County,Payette,"Payette, ID",,Completer Apprentices,5,31.5,32.05
FY 2023,ID,Idaho,Idaho County,Idaho,"Idaho, ID",,Completer Apprentices,5,19.2,20
FY 2023,ID,Idaho,Canyon County,Canyon,"Canyon, ID",,Completer Apprentices,5,22.2,20
FY 2023,ID,Idaho,Franklin County,Franklin,"Franklin, ID",,Completer Apprentices,4,9.5,9.5
FY 2023,ID,Idaho,Jefferson County,Jefferson,"Jefferson, ID",,Completer Apprentices,3,12.67333333,9.01
FY 2023,ID,Idaho,Teton County,Teton,"Teton, ID",,Completer Apprentices,2,22,22
FY 2023,ID,Idaho,Cassia County,Cassia,"Cassia, ID",,Completer Apprentices,2,29.375,29.375
FY 2023,ID,Idaho,Bonner County,Bonner,"Bonner, ID",,Completer Apprentices,2,20.82,20.82
FY 2023,ID,Idaho,Washington County,Washington,"Washington, ID",,Completer Apprentices,1,35.76,35.76
FY 2023,ID,Idaho,Valley County,Valley,"Valley, ID",,Completer Apprentices,1,18,18
FY 2023,ID,Idaho,Owyhee County,Owyhee,"Owyhee, ID",,Completer Apprentices,1,42,42
FY 2023,ID,Idaho,Lemhi County,Lemhi,"Lemhi, ID",,Completer Apprentices,1,35,35
FY 2023,ID,Idaho,Custer County,Custer,"Custer, ID",,Completer Apprentices,1,42.05,42.05
FY 2023,ID,Idaho,Boundary County,Boundary,"Boundary, ID",,Completer Apprentices,1,13.9,13.9
FY 2023,NE,Nebraska,Sarpy County,Sarpy,"Sarpy, NE",,Completer Apprentices,250,18.36492,16.5
FY 2023,NE,Nebraska,Douglas County,Douglas,"Douglas, NE",,Completer Apprentices,239,37.49782427,40.15
FY 2023,NE,Nebraska,Lancaster County,Lancaster,"Lancaster, NE",,Completer Apprentices,41,27.6747619,17.94
FY 2023,NE,Nebraska,Hall County,Hall,"Hall, NE",,Completer Apprentices,37,22.11324324,22.16
FY 2023,NE,Nebraska,Madison County,Madison,"Madison, NE",,Completer Apprentices,6,26.645,23
FY 2023,NE,Nebraska,Adams County,Adams,"Adams, NE",,Completer Apprentices,3,32.62,33.93
FY 2023,NE,Nebraska,Phelps County,Phelps,"Phelps, NE",,Completer Apprentices,2,28.79,28.79
FY 2023,NE,Nebraska,Buffalo County,Buffalo,"Buffalo, NE",,Completer Apprentices,2,26.28,26.28
FY 2023,NE,Nebraska,Platte County,Platte,"Platte, NE",,Completer Apprentices,1,21.55,21.55
FY 2023,NE,Nebraska,Perkins County,Perkins,"Perkins, NE",,Completer Apprentices,1,30.63,30.63
FY 2023,NE,Nebraska,Morrill County,Morrill,"Morrill, NE",,Completer Apprentices,1,25.24,25.24
FY 2023,NE,Nebraska,Custer County,Custer,"Custer, NE",,Completer Apprentices,1,32.81,32.81
FY 2023,NE,Nebraska,Box Butte County,Box Butte,"Box Butte, NE",,Completer Apprentices,1,38.83,38.83
FY 2023,AL,Alabama,Colbert County,Colbert,"Colbert, AL",,Completer Apprentices,151,31.2213245,30.8
FY 2023,AL,Alabama,Jefferson County,Jefferson,"Jefferson, AL",,Completer Apprentices,109,28.29697248,28
FY 2023,AL,Alabama,Mobile County,Mobile,"Mobile, AL",,Completer Apprentices,63,27.14285714,26.95
FY 2023,AL,Alabama,Shelby County,Shelby,"Shelby, AL",,Completer Apprentices,58,29.28034483,30
FY 2023,AL,Alabama,Madison County,Madison,"Madison, AL",,Completer Apprentices,55,26.35509091,22
FY 2023,AL,Alabama,Tuscaloosa County,Tuscaloosa,"Tuscaloosa, AL",,Completer Apprentices,28,24.46821429,27.375
FY 2023,AL,Alabama,Montgomery County,Montgomery,"Montgomery, AL",,Completer Apprentices,26,22.56818182,0.35
FY 2023,AL,Alabama,Lauderdale County,Lauderdale,"Lauderdale, AL",,Completer Apprentices,24,25.655,26.81
FY 2023,AL,Alabama,Baldwin County,Baldwin,"Baldwin, AL",,Completer Apprentices,20,28.5665,24.95
FY 2023,AL,Alabama,Tallapoosa County,Tallapoosa,"Tallapoosa, AL",,Completer Apprentices,6,24.16666667,24
FY 2023,AL,Alabama,Sumter County,Sumter,"Sumter, AL",,Completer Apprentices,6,23.16,23.16
FY 2023,AL,Alabama,Limestone County,Limestone,"Limestone, AL",,Completer Apprentices,6,27.45333333,27.68
FY 2023,AL,Alabama,Conecuh County,Conecuh,"Conecuh, AL",,Completer Apprentices,5,20.536,19
FY 2023,AL,Alabama,Lee County,Lee,"Lee, AL",,Completer Apprentices,4,21.0625,21.75
FY 2023,AL,Alabama,Etowah County,Etowah,"Etowah, AL",,Completer Apprentices,4,22.5,22.5
FY 2023,AL,Alabama,Covington County,Covington,"Covington, AL",,Completer Apprentices,4,22.5425,23.39
FY 2023,AL,Alabama,Marshall County,Marshall,"Marshall, AL",,Completer Apprentices,3,22.08333333,22.25
FY 2023,AL,Alabama,Morgan County,Morgan,"Morgan, AL",,Completer Apprentices,2,32,32
FY 2023,AL,Alabama,Marengo County,Marengo,"Marengo, AL",,Completer Apprentices,2,,
FY 2023,AL,Alabama,Talladega County,Talladega,"Talladega, AL",,Completer Apprentices,1,,0.4
FY 2023,AL,Alabama,Pickens County,Pickens,"Pickens, AL",,Completer Apprentices,1,,0.4
FY 2023,NH,New Hampshire,York County,York,"York, NH",,Completer Apprentices,199,28.94868687,29.33
FY 2023,NH,New Hampshire,Grafton County,Grafton,"Grafton, NH",,Completer Apprentices,109,20.3387037,20.45
